연도,순위,제목,개봉일,관객수,관람등급,줄거리,링크
2012,1,도둑들,12.07.25,"12,984,701",15세이상관람가,"10인의 도둑, 1개의 다이아몬드그들이 움직이기 시작했다!한 팀으로 활동 중인 한국의 도둑 뽀빠이와 예니콜, 씹던껌, 잠파노. 미술관을 터는데 멋지게 성공한 이들은 뽀빠이의 과거 파트너였던 마카오박이 제안한 홍콩에서의 새로운 계획을 듣게 된다. 여기에 마카오박이 초대하지 않은 손님, 감옥에서 막 출소한 금고털이 팹시가 합류하고 5명은 각자 인생 최고의 반전을 꿈꾸며 홍콩으로 향한다. 홍콩에서 한국 도둑들을 기다리고 있는 4인조 중국도둑 첸, 앤드류, 쥴리, 조니. 최고의 전문가들이 세팅된 가운데 서로에 대한 경계를 늦추지 않는 한국과 중국의 도둑들. 팽팽히 흐르는 긴장감 속에 나타난 마카오박은 자신이 계획한 목표물을 밝힌다. 그것은 마카오 카지노에 숨겨진 희대의 다이아몬드 <태양의 눈물>. 성공을 장담할 수 없는 위험천만한 계획이지만 2천만 달러의 달콤한 제안을 거부할 수 없는 이들은 태양의 눈물을 훔치기 위한 작업에 착수한다. 그러나 진짜 의도를 알 수 없는 비밀스런 마카오박과 그런 마카오박의 뒤통수를 노리는 뽀빠이, 마카오박에게 배신당한 과거의 기억을 잊지 못하는 팹시와 팀보다 눈 앞의 현찰을 먼저 챙기는 예니콜, 그리고 한국 도둑들을 믿지 않는 첸과 중국 도둑들까지. 훔치기 위해 모였지만 목적은 서로 다른 10인의 도둑들은 서서히 자신만의 플랜을 세우기 시작하는데…",https://movie.daum.net/moviedb/main?movieId=63478
2012,2,"광해, 왕이 된 남자",12.09.13,"12,324,062",15세이상관람가,"역사에 기록되지 않은 또 한 명의 광해 왕위를 둘러싼 권력 다툼과 당쟁으로 혼란이 극에 달한 광해군 8년. 자신의 목숨을 노리는 자들에 대한 분노와 두려움으로 점점 난폭해져 가던 왕 ‘광해’는 도승지 ‘허균’에게 자신을 대신하여 위협에 노출될 대역을 찾을 것을 지시한다. 이에 허균은 기방의 취객들 사이에 걸쭉한 만담으로 인기를 끌던 하선을 발견한다. 왕과 똑같은 외모는 물론 타고난 재주와 말솜씨로 왕의 흉내도 완벽하게 내는 하선. 영문도 모른 채 궁에 끌려간 하선은 광해군이 자리를 비운 하룻밤 가슴 조이며 왕의 대역을 하게 된다. 왕이 되어선 안 되는 남자, 조선의 왕이 되다! 그러던 어느 날 광해군이 갑자기 의식을 잃고 쓰러지는 엄청난 사건이 발생하고, 허균은 광해군이 치료를 받는 동안 하선에게 광해군을 대신하여 왕의 대역을 할 것을 명한다. 저잣거리의 한낱 만담꾼에서 하루아침에 조선의 왕이 되어버린 천민 하선. 허균의 지시 하에 말투부터 걸음걸이, 국정을 다스리는 법까지, 함부로 입을 놀려서도 들켜서도 안 되는 위험천만한 왕노릇을 시작한다. 하지만 예민하고 난폭했던 광해와는 달리 따뜻함과 인간미가 느껴지는 달라진 왕의 모습에 궁정이 조금씩 술렁이고, 점점 왕의 대역이 아닌 자신의 목소리를 내기 시작하는 하선의 모습에 허균도 당황하기 시작하는데...",https://movie.daum.net/moviedb/main?movieId=63847
2012,3,어벤져스,12.04.26,"7,087,971",12세이상관람가,"ASSEMBLE! 최강의 슈퍼히어로들이 모였다!지구의 운명을 건 거대한 전쟁이 시작된다!지구의 안보가 위협당하는 위기의 상황에서 슈퍼히어로들을 불러모아 세상을 구하는, 일명 ‘어벤져스’ 작전. 에너지원 ‘큐브’를 이용한 적의 등장으로 인류가 위험에 처하자 국제평화유지기구인 쉴드 (S.H.I.E.L.D)의 국장 닉 퓨리(사무엘 L.잭슨)는 ‘어벤져스’ 작전을 위해 전 세계에 흩어져 있던 슈퍼히어로들을 찾아 나선다. 아이언맨(로버트 다우니 주니어)부터 토르(크리스 헴스워스), 헐크(마크 러팔로), 캡틴 아메리카(크리스 에반스)는 물론, 쉴드의 요원인 블랙 위도우(스칼렛 요한슨), 호크 아이(제레미 레너)까지, 최고의 슈퍼히어로들이 ‘어벤져스’의 멤버로 모이게 되지만, 각기 개성이 강한 이들의 만남은 예상치 못한 방향으로 흘러가는데… 지구의 운명을 건 거대한 전쟁 앞에 ‘어벤져스’ 작전은 성공할 수 있을까?",https://movie.daum.net/moviedb/main?movieId=54081
2012,4,늑대소년,12.10.31,"6,655,501",15세이상관람가,"체온 46도, 혈액형 판독불가…세상에 없어야 할 위험한 존재 늑대소년, 운명적 사랑에 빠지다!요양 차 가족들과 한적한 마을로 이사 간 소녀는 어둠 속에 몸을 숨긴 의문의 늑대소년을 발견한다. 야생의 눈빛으로 사람 같지 않은 행동을 보이는 소년에게 왠지 마음이 쓰이는 소녀는 먹을 것을 보고 기다리는 법, 옷 입는 법, 글을 읽고 쓰는 법 등 소년에게 세상에서 살아가는 방법들을 하나씩 가르쳐준다. 태어나 처음으로 자신을 향해 손을 내밀어준 소녀에게 애틋한 감정이 싹트는 소년. 그러던 어느 날 예기치 못한 위기 속에 소년의 숨겨져 있던 위험한 본성이 드러나고, 소년은 순식간에 마을 사람들에게 두려움과 공포의 대상이 되어버리는데……",https://movie.daum.net/moviedb/main?movieId=67118
2012,5,다크 나이트 라이즈,12.07.19,"6,428,574",15세이상관람가,"`배트맨` vs `베인`, 운명을 건 최후의 전투다크 나이트 신화의 전설이 끝난다“진실만으론 세상을 못 바꾸니까 진정한 영웅을 기다려온 세상을 실망시켜선 안돼”배트맨이 조커와의 대결을 끝으로 세상에서 모습을 감춘 8년 후..하비 덴트의 죽음에 대한 책임을 떠안은 배트맨은 그와 고든 경찰청장이 희망했던 보다 큰 선을 위해 모든 것을 희생했다.한편 고담시의 범죄는 범죄방지 덴트법으로 인해 한동안 억제되는 듯했다.하지만 평화가 지속되던 고담시의 파멸을 예고하며 등장한 마스크를 쓴 잔인한 악당 베인으로 인해 모든 것이 변한다.그는 브루스 웨인이 스스로 택한 유폐 생활에 종지부를 찍게 한다.하지만 다시 돌아온 배트맨에게 베인은 그리 만만한 상대가 아니다.자신을 거부한 사람들의 고통을 지켜볼 것인가, 정의의 수호자로 나설 것인가.배트맨은 승패를 알 수 없는 마지막 전투를 시작하려 하는데…",https://movie.daum.net/moviedb/main?movieId=57958
2012,6,바람과 함께 사라지다,12.08.08,"4,909,950",12세이상관람가,"금보다 귀한 권력의 상징 ‘얼음’ 총명함은 타고났으나 우의정의 서자요, 잡서적에 빠져 지내던 ‘덕무’(차태현). 얼음 독점권을 차지하려는 좌의정 ‘조명수’에 의해 아버지가 누명을 쓰게 되자 그의 뒤통수를 칠 묘안을 떠올린다. 바로 서빙고의 얼음을 통째로 털겠다는 것! 한때 서빙고를 관리했지만 조명수 일행에 의해 파직당한 ‘동수’(오지호)와 손을 잡은 덕무는 작전에 필요한 조선 제일의 고수들을 찾아 나선다. 그들이 움직이면 ‘얼음’이 사라진다! 한양 최고의 돈줄 ‘수균’(성동일)을 물주로 잡고, 도굴 전문가 ‘석창’(고창석), 폭탄 제조 전문가 ‘대현’(신정근), 변장술의 달인 ‘재준’(송종호), 총알배송 마차꾼 ‘철주’(김길동) 등 각 분야 전문가들을 불러모은 덕무와 동수. 여기에 동수의 여동생인 잠수전문가 ‘수련’(민효린)과 아이디어 뱅크 ‘정군’(천보근), 유언비어의 원조 ‘난이’(김향기)까지 조선 최고의 ‘꾼’들이 모두 한자리에 모이게 되고, 3만정의 얼음을 훔치기 위한 본격 작전에 나서기 시작한다! “우리는 돈, 금, 얼음을 가지고 바람과 함께 사라지는 겁니다!”",https://movie.daum.net/moviedb/main?movieId=66388
2012,7,어메이징 스파이더맨,12.06.28,"4,853,273",12세이상관람가,"전세계를 사로잡은 영웅, 그러나 아무도 몰랐던 그의 이야기.어릴적 사라진 부모 대신 삼촌 내외와 살고 있는 피터 파커(앤드류 가필드)는 여느 고등학생처럼 평범한 학교 생활을 하며 일상을 보내고, 같은 학교 학생 그웬 스테이시(엠마 스톤)와 첫사랑에 빠져 우정과 사랑, 그리고 둘 만의 비밀을 키워나간다.  그러던 어느 날 아버지가 사용했던 비밀스러운 가방을 발견하고 부모님의 실종사건에 대한 의심을 품게 된 그는 그 동안 숨겨져 왔던 과거의 비밀을 추척하게된다. 아버지의 옛 동료 코너스 박사(리스 이판)의 실험실을 찾아가게 된 피터는 우연한 사고로 특별한 능력을 갖게 되고, 뜻밖의 피터의 도움으로 연구를 완성한 코너스 박사는 자신의 숨겨진 자아인 악당 ‘리자드’를 탄생시킨다. 세상을 위협하는 세력앞에 피터는 그의 인생을 통째로 바꾸어 버릴 일생일대의 선택, 바로 ‘스파이더맨’이라 불리우는 영웅이 되기로 결심하는데…2012년 6월 28일, 스파이더맨의 숨겨진 비밀이 마침내 밝혀진다!",https://movie.daum.net/moviedb/main?movieId=43732
2012,8,범죄와의 전쟁: 나쁜놈들 전성시대,12.02.02,"4,720,172",청소년관람불가,"2012년 2월, ‘나쁜 놈들의 전성시대’가 시작된다! 비리 세관 공무원 최익현, 보스 최형배를 만나다!1982년 부산. 해고될 위기에 처한 비리 세관원 최익현(최민식)은 순찰 중 적발한 히로뽕을 일본으로 밀수출, 마지막으로 한 탕 하기 위해 부산 최대 조직의 젊은 보스 최형배(하정우)와 손을 잡는다. 머리 쓰는 나쁜 놈과 주먹 쓰는 나쁜 놈, 부산을 접수하다!  익현은 탁월한 임기응변과 특유의 친화력으로 형배의 신뢰를 얻는데 성공한다. 주먹 넘버원 형배와 로비의 신 익현은 함께 힘을 합쳐 부산을 접수하기 시작하고, 두 남자 앞에 나쁜 놈들의 전성시대가 펼쳐진다. 넘버원이 되고 싶은 나쁜 놈들의 한판 승부. 범죄와의 전쟁하지만 1990년 범죄와의 전쟁이 선포되자 조직의 의리는 금이 가고 넘버원이 되고 싶은 나쁜 놈들 사이의 배신이 시작된다. 살아남기 위해 벌이는 치열한 한판 승부, 최후에 웃는 자는 과연 누가 될 것인가?",https://movie.daum.net/moviedb/main?movieId=63114
2012,9,내 아내의 모든 것,12.05.17,"4,598,985",15세이상관람가,"그녀는 최고였다! 입을 열기 전까지는…!예쁘고 사랑스러운 외모, 완벽한 요리 실력, 때론 섹시하기까지. 남들이 보기엔 모든 것을 갖춘 최고의 여자 ‘정인’(임수정). 하지만 입만 열면 쏟아내는 불평과 독설로 인해 남편 ‘두현’(이선균)에겐 결혼생활 하루하루가 죽을 맛이다. 매일 수백 번씩 이혼을 결심하지만 아내가 무서워 이혼의 ‘이’자도 꺼내지 못하는 소심한 남편 두현. 그런 아내와 헤어질 방법은 단 하나뿐. 그녀가 먼저 두현을 떠나게 하는 것! 제발… 제 아내를 유혹해 주세요!아내가 싫어하는 짓만 골라하며 소심한 반항을 해보지만 눈도 까딱 않는 정인으로 인해 두현은 절망에 빠진다. 하지만 어떤 여자든 사랑의 노예로 만들어 버리는 비범한 능력을 지녔다는 전설의 카사노바 ‘성기’(류승룡)를 만나 절호의 기회를 얻는 두현! 이제 은퇴를 선언하고 은둔의 삶을 선택한 그에게 두현은 카사노바 일생의 화룡점정을 위한 마지막 여자로 정인을 유혹해 달라고 부탁하는데…",https://movie.daum.net/moviedb/main?movieId=67885
2012,10,연가시,12.07.05,"4,516,063",15세이상관람가,"치사율 100% 변종 연가시 감염주의보! 그 누구도 피할 수 없는 감염의 공포가 대한민국을 초토화시킨다! 고요한 새벽녘 한강에 뼈와 살가죽만 남은 참혹한 몰골의 시체들이 떠오른다. 이를 비롯해 전국 방방곡곡의 하천에서 변사체들이 발견되기 시작하는데… 원인은 숙주인 인간의 뇌를 조종하여 물 속에 뛰어들도록 유도해 익사시키는 ‘변종 연가시’. 짧은 잠복기간과 치사율 100%, 4대강을 타고 급속하게 번져나가는 ‘연가시 재난’은 대한민국을 초토화시킨다. 사망자들이 기하급수적으로 늘어나게 되자 정부는 비상대책본부를 가동해 감염자 전원을 격리 수용하는 국가적인 대응태세에 돌입하지만, 이성을 잃은 감염자들은 통제를 뚫고 물가로 뛰쳐나가려고 발악한다. 한편, 일에 치여 가족들을 챙기지 못했던 제약회사 영업사원 재혁은 자신도 모르는 사이에 연가시에 감염 되어버린 아내와 아이들을 살리기 위해 치료제를 찾아 고군분투한다. 그 가운데 그는 재난사태와 관련된 심상치 않은 단서를 발견하고 사건 해결에 나서게 되는데…",https://movie.daum.net/moviedb/main?movieId=66590
